Frame skip rate = 0
Grab Retrieve Color Resize
80 4492 2598 600 
73 4486 2644 386 
127 4364 2956 607 
74 4467 3001 374 
66 4486 2790 618 
75 4383 3092 604 
75 4481 3257 401 
842 4426 2860 585 
116 4422 3078 634 
69 4932 3076 622 
11943 4421 2531 452 
80 4314 2987 591 
95 5600 2906 612 
82 4483 2613 401 
114 4392 2977 603 
78 4468 2976 594 
66 5650 2914 586 
97 4469 2960 594 
81 4452 2974 603 
67 4473 2770 606 
112 5612 2929 587 
78 4386 2973 596 
393 4483 3679 607 
97 4415 3271 1232 
75 4476 2951 596 
12624 4358 2519 587 
118 4132 3533 589 
64 5505 2853 561 
87 4343 2647 384 
82 4389 2963 588 
71 4516 2998 612 
71 5631 2924 565 
160 4484 2961 597 
72 4492 2605 587 
71 4521 2694 383 
71 5643 2843 587 
96 5706 2688 354 
452 4272 2791 589 
125 4397 2979 598 
66 5199 3096 610 
12367 4545 2655 603 
84 4294 2972 596 
80 5687 2908 594 
83 4629 2579 407 
118 4414 2950 611 
78 4447 2618 584 
72 5651 3286 479 
82 4386 2939 607 
112 4472 3006 581 
94 4613 3007 390 
75 5611 3261 594 
91 5686 3110 375 
432 4300 2456 416 
82 4371 2564 485 
81 5033 2849 452 
13894 4379 2449 441 
114 4105 2590 603 
74 4380 3115 593 
104 5025 2697 395 
83 5591 3252 593 
133 5612 3256 562 
79 4374 2898 488 
75 4358 2951 602 
75 5682 3308 578 
68 5663 3302 585 
91 4388 2907 824 
110 4356 2863 590 
173 5649 3187 589 
132 5442 3149 565 
85 5565 3756 595 
4715 4348 2582 460 
83 5390 3179 562 
124 5573 3164 595 
82 5476 3261 566 
96 5156 2535 566 
99 5431 3064 465 
70 4323 2743 482 
107 5629 3240 593 
110 5562 3266 605 
87 5546 3222 554 
108 5383 2954 572 
117 5602 3341 577 
191 5335 2962 585 
114 5591 3217 587 
72 4251 3669 583 
5840 4545 2667 607 
85 4348 3786 605 
79 4414 3539 385 
81 4464 3028 384 
76 5619 2840 612 
138 5705 2866 582 
86 5184 2957 449 
78 4385 2963 615 
79 5600 2916 567 
83 4828 2882 587 
81 4402 2591 595 
114 4453 2979 593 
158 5672 2898 604 
99 4448 3131 595 
67 4431 3222 620 
11365 4587 2543 621 
85 4337 2958 599 
73 5625 2874 588 
94 4859 2713 579 
97 4638 2660 581 
99 5956 3439 409 
104 5636 3331 592 
98 4855 3055 587 
82 5597 3300 586 
85 4411 2590 442 
138 5660 3279 591 
106 5694 3301 595 
150 5520 3090 578 
146 5418 3242 572 
81 5308 2744 601 
6127 4352 2816 572 
84 5399 3174 579 
78 5530 3223 484 
74 4327 2931 557 
125 4398 2934 611 
79 5619 3320 579 
77 4470 2967 599 
78 4393 2998 606 
77 4392 3047 617 
66 5630 2953 607 
123 4396 3172 601 
80 4457 3696 594 
158 4314 2803 618 
110 4397 3166 598 
78 5501 2845 613 
6198 4372 2574 395 
82 5438 3183 578 
128 5525 3441 500 
63 4283 2605 592 
79 4416 2586 590 
97 5617 3358 541 
66 4471 3025 355 
77 4395 2595 599 
119 4460 2972 595 
73 5610 2915 592 
97 5211 2592 597 
83 4435 2589 557 
451 4527 3273 619 
83 5369 2829 598 
81 5685 3238 584 
8880 4400 2734 452 
81 5464 3185 575 
87 5524 3194 534 
63 4277 2659 440 
84 4371 2644 596 
107 5645 2880 613 
83 5051 2999 602 
78 4389 2955 601 
79 4442 3053 570 
80 5226 2627 607 
117 4396 2975 601 
81 4471 3490 591 
163 5715 2831 610 
138 5529 2842 588 
80 5574 2782 588 
8233 4379 2501 392 
84 5505 3215 566 
92 5532 3174 574 
78 4337 2907 568 
116 4329 2580 594 
78 5635 3315 591 
85 4466 3015 585 
84 4400 2566 584 
79 4466 2581 582 
70 5629 3331 582 
132 4838 2937 601 
78 4948 2956 585 
174 4525 2937 603 
112 5683 3120 604 
83 4485 3122 596 
11504 4598 2683 603 
84 4365 2960 605 
106 5599 3322 581 
74 4453 2677 579 
81 4408 2547 590 
79 4474 2593 580 
88 5650 2938 582 
137 5446 2926 624 
85 4489 2984 597 
69 4508 2641 591 
84 5612 2865 576 
93 5733 2871 615 
482 4959 2878 613 
87 4385 2981 600 
112 5575 3079 582 
6531 5536 2638 387 
79 4132 2915 615 
78 4397 3758 607 
76 4384 3391 580 
120 5628 2878 614 
96 5643 2876 562 
81 5310 2666 569 
104 4422 2562 589 
80 5675 3139 618 
82 5176 3033 583 
125 4405 2575 594 
82 4472 3075 615 
450 5403 2994 621 
86 4397 2901 619 
77 4682 3242 586 
11449 4352 2544 419 
115 5472 3178 578 
87 5552 3174 567 
66 4281 2925 559 
78 4336 2509 564 
76 5690 3492 577 
82 4645 3057 614 
114 4406 2573 370 
80 4471 2924 606 
69 5675 2890 610 
133 5603 2952 595 
81 4458 2837 596 
163 4446 3771 617 
137 5626 3304 596 
85 5663 3259 609 
3999 5469 3272 578 
79 4229 2856 588 
108 4302 3796 608 
79 5461 2942 590 
89 4408 2982 604 
78 4470 3840 607 
80 4513 3724 582 
126 4418 2581 592 
79 4465 2947 596 
67 4465 3125 624 
1340 4515 3156 604 
79 5698 2904 591 
498 5260 2941 597 
88 4399 3196 603 
131 5550 3199 611 
5635 4613 2656 487 
84 4417 2993 603 
79 5655 2893 612 
84 5366 3034 597 
113 4397 2565 584 
98 4487 2609 576 
72 5685 2902 580 
96 5638 2990 598 
83 4482 3005 584 
69 4490 3037 595 
130 5682 2914 607 
90 4490 3838 609 
204 4415 3401 613 
113 4417 3062 626 
82 5620 3155 630 
8351 5435 2600 387 
83 4229 2584 594 
110 4486 3053 616 
82 5315 3183 585 
82 5627 3304 593 
94 5675 3237 525 
72 5465 3288 575 
135 5055 2494 575 
83 5646 3263 589 
85 4629 2645 448 
91 5645 3308 591 
91 5757 3082 586 
416 5616 3158 593 
92 5355 3061 568 
81 5485 2592 599 
9284 4393 2605 459 
115 4248 2932 591 
70 5563 3336 565 
90 4625 2912 569 
99 4861 2564 598 
83 4472 2691 583 
71 5649 3349 582 
134 5129 2953 608 
83 4470 3033 615 
69 4513 3615 573 
77 5622 2865 614 
94 5738 2967 585 
402 4897 2821 604 
87 4408 3084 633 
85 5660 3222 621 
6258 4858 2636 384 
116 4359 2580 601 
78 5679 3315 574 
82 4702 2647 574 
94 4398 2591 566 
